Hauptkategorie (neu);Unterkategorie (neu);Top-Rang;Relevanz 1-5;Produktname;Bild;Beschreibung (max. 500 Zeichen);Feature / USP (Hauptbotschaft);Sekundäre Information;Link Ferronato-Shop;Sparte/Farbe;Preis CHF exkl. MwSt;Art.-Nr.;Verfügbarkeit;Alte Shop-Unterkategorie;Begründung Top
01 Messen & Anzeichnen;Laser & Distanzmesser;1;5;FLEX  Aktion Akku Linienlaser 360° ALC3/360-G/R 12 Volt;https://shop.ferronato.ch/images/product/large/6108.jpg;FLEX Akku-Linienlaser ALC3/360-G/R, eine horizontale und zwei vertikale 360°-Linien, Lotfunktion, Selbstnivellierung, Reichweite 100 m (mit Empfänger 120 m), Genauigkeit ±0,3 mm/m, IP54, Laserklasse 2, Gewicht ohne Akku 0,8 kg. Set mit Akku 2,5 Ah, Ladegerät, Empfänger, Stativ, Zieltafel, Sichtbrille, L-Boxx-Koffer.;Präzise 360°-Kreuzlinien für schnelles Ausrichten von Fliesenspiegeln.;Aktionsset inklusive Akku, Ladegerät, Empfänger und Stativ.;https://shop.ferronato.ch/de/product/6108/flex-aktion-akku-linienlaser-360-alc3-360-g-r-12-volt?CatID=216;Plattenleger;990.0;050-278;ab Lager;Elektrogeräte, Mit Akku;360°-Linienlaser als Aktion, das meistgesuchte Ausrichtwerkzeug für Fliesenspiegel.
01 Messen & Anzeichnen;Laser & Distanzmesser;2;4;FLEX Aktion Selbstnivellierender Kreuzlinien-Laser ALC 3/1-G/R;https://shop.ferronato.ch/images/product/large/7315.jpg;FLEX selbstnivellierender Kreuzlinien-Laser mit horizontaler und zwei vertikalen Linien plus Lotfunktion, grüne Laserdiode für bessere Sichtbarkeit. Arbeitsbereich 20 m, mit Empfänger bis 70 m, Genauigkeit ±0.3 mm. Laserklasse 2, integrierter Akku, inkl. Stativ.;Präziser, gut sichtbarer Kreuzlinienlaser mit grüner Laserdiode und Lot.;Aktionsset inkl. Stativ, Wandhalter und Transporttasche, Preis CHF 389.00.;https://shop.ferronato.ch/de/product/7315/flex-aktion-selbstnivellierender-kreuzlinien-laser-alc-3-1-g-r?CatID=216;Plattenleger;389.0;050-572;Nicht an Lager;Elektrogeräte, Mit Akku;Selbstnivellierender Kreuzlinienlaser mit grüner Diode, Standard auf jeder Baustelle.
01 Messen & Anzeichnen;Laser & Distanzmesser;;3;FLEX Laser Distanzmesser ADM 30 Smart;https://shop.ferronato.ch/images/product/large/6926.jpg;FLEX Laser-Distanzmesser mit Längen-, Flächen- und Volumenberechnung, kontinuierlichem Messmodus und indirekter Höhenmessung via Pythagoras. Arbeitsbereich 0.03-30 m, Genauigkeit ±3 mm, Laserklasse 2, integrierter Akku, Gewicht 38 g.;Kompakter Laser-Distanzmesser für schnelles Aufmass im Innenbereich.;Inkl. USB-Ladekabel, Preis CHF 59.00.;https://shop.ferronato.ch/de/product/6926/flex-laser-distanzmesser-adm-30-smart?CatID=216;Plattenleger;59.0;050-374;ab Lager;Plattenleger (Hauptkategorie);Praktisches Messwerkzeug, aber nicht bei jedem Auftrag zwingend.
01 Messen & Anzeichnen;Marker & Stifte;;3;Lyra China Marker Universal Wachsstift;https://shop.ferronato.ch/images/product/large/7389.jpg;Wachsstift für professionelles Anzeichnen auf glatten Oberflächen wie Glas, Kunststoff, Papier, Metall und Gummi. Hitzebeständig bis 400°C, braune Farbmine bis 800°C. Ohne Lösungsmittel. Länge 170 mm. Erhältlich in rot, gelb, blau, schwarz, weiss.;Wachsstift zum Anzeichnen auf glatten Oberflächen, hitzebeständig bis 400°C.;5 Farben erhältlich: rot, gelb, blau, schwarz, weiss, je CHF 2.30.;https://shop.ferronato.ch/de/product/7389/lyra-china-marker-universal-wachsstift?CatID=216;Plattenleger;2.3;;;Plattenleger (Hauptkategorie);Günstiges, häufig genutztes Anzeichenwerkzeug für den Alltag auf der Baustelle.
01 Messen & Anzeichnen;Marker & Stifte;;3;Lyra Ink Profi permanent Tieflochmarker, Farbe ROT;https://shop.ferronato.ch/images/product/large/7394.jpg;Permanenter Tieflochmarker mit Edelstahl-Teleskopspitze (35 mm) zum Anzeichnen von Bohrlöchern und schwer zugänglichen Stellen. Für alle Oberflächen wie Holz, Metall, Kunststoff, Glas, Keramik geeignet. Strichbreite 1 mm, ergonomisch dreiflächig, mit Köcherschoner und Clip.;Teleskopspitze markiert Bohrlöcher auch an schwer zugänglichen Stellen präzise.;Auch in Farbe Schwarz erhältlich, Preis CHF 7.65.;https://shop.ferronato.ch/de/product/7394/lyra-ink-profi-permanent-tieflochmarker-farbe-rot?CatID=216;Plattenleger / rot;7.65;040-932 ROT;ab Lager;Plattenleger (Hauptkategorie);Praktisches, oft genutztes Anzeichenwerkzeug beim Bohren.
01 Messen & Anzeichnen;Marker & Stifte;;3;Lyra Ink Profi permanent Tieflochmarker, Farbe SCHWARZ;https://shop.ferronato.ch/images/product/large/7395.png;Permanenter Tieflochmarker mit Edelstahl-Teleskopspitze (35 mm) zum Anzeichnen von Bohrlöchern und schwer zugänglichen Stellen. Für alle Oberflächen wie Holz, Metall, Kunststoff, Glas, Keramik geeignet. Strichbreite 1 mm, ergonomisch dreiflächig, mit Köcherschoner und Clip.;Teleskopspitze markiert Bohrlöcher auch an schwer zugänglichen Stellen präzise.;Auch in Farbe Rot erhältlich, Preis CHF 7.65.;https://shop.ferronato.ch/de/product/7395/lyra-ink-profi-permanent-tieflochmarker-farbe-schwarz?CatID=216;Plattenleger / schwarz;7.65;040-932 SCHWARZ;ab Lager;Plattenleger (Hauptkategorie);Praktisches, oft genutztes Anzeichenwerkzeug beim Bohren.
01 Messen & Anzeichnen;Marker & Stifte;;3;Lyra Universalschreiber, wachshaltige Mine;https://shop.ferronato.ch/images/product/large/7377.jpg;Lyra Universalschreiber mit wachshaltiger Mine, dünner Markierungsstift für glatte Oberflächen wie Metall, Keramik, Kunststoff, Stein, Beton und Glas. Leicht entfernbar von Metall, Keramik, Kunststoff und Glas. Ø 6.8 mm, Länge 17.8 cm, Karton à 12 Stück.;Vielseitiger Markierstift für glatte Oberflächen, leicht entfernbar.;In Blau, Gelb, Rot und Weiss erhältlich, Karton à 12 Stück, Preis CHF 2.40.;https://shop.ferronato.ch/de/product/7377/lyra-universalschreiber-wachshaltige-mine?CatID=216;Plattenleger;2.4;;;Plattenleger (Hauptkategorie);Häufig genutztes Anzeichenwerkzeug für unterschiedliche Materialien.
01 Messen & Anzeichnen;Marker & Stifte;;3;Lyra Zimmermannstifte 333, flachoval;https://shop.ferronato.ch/images/product/large/7374.jpg;Lyra Zimmermannstift 333, flachoval, 18 cm, mit bruchfester Mine für professionelle Markierungen auf trockenem Holz. Markierfarbe Graphit, Markierbreite mittel, Härte H.;Robuster Zimmermannstift für präzise Markierungen auf Holz.;Preis pro Stück, CHF 1.85.;https://shop.ferronato.ch/de/product/7374/lyra-zimmermannstifte-333-flachoval?CatID=216;Plattenleger;1.85;040-785;ab Lager;Plattenleger (Hauptkategorie);Häufig genutztes Anzeichenwerkzeug, günstiges Verbrauchsmaterial.
01 Messen & Anzeichnen;Marker & Stifte;;3;Pentel NN50 Filzstift;https://shop.ferronato.ch/images/product/large/1080.jpg;Pentel wasserfester Filzstift NN50, schwarz, 1 Stück. Kunststoffgehäuse mit Kappe und Clip, Strichbreite 5 mm.;Wasserfester Filzstift zum sauberen Anzeichnen auf der Baustelle.;1 Stück, Strichbreite 5 mm, Preis CHF 5.75.;https://shop.ferronato.ch/de/product/1080/pentel-nn50-filzstift?CatID=216;Plattenleger / schwarz;5.75;100-200;ab Lager;Plattenleger (Hauptkategorie);Häufiges Verbrauchsmaterial zum Anzeichnen, kein Kernprodukt.
01 Messen & Anzeichnen;Marker & Stifte;;2;Steinhauer-Bleistift flachoval;https://shop.ferronato.ch/images/product/large/3239.png;Steinhauerstift, flachoval, 30 cm lang, Profi-Ausführung, bruchfeste Mine in Spezialhärte 10H mit guten Spitzeigenschaften, für Markierungen auf Stein, Beton und rauen Oberflächen.;Bruchfester Anzeichnungsstift für raue Oberflächen wie Stein und Beton.;Länge 30 cm, Preis CHF 2.75.;https://shop.ferronato.ch/de/product/3239/steinhauer-bleistift-flachoval?CatID=216;Plattenleger;2.75;040-784;ab Lager;Plattenleger (Hauptkategorie);Günstiges, häufig benutztes Kleinwerkzeug zum Anzeichnen.
01 Messen & Anzeichnen;Schlagschnur & Rollmeter;3;4;KRAFTWERK Profi-Rollmeter 5m x 27mm;https://shop.ferronato.ch/images/product/large/6152.jpg;Profi-Rollmeter 5 m x 27 mm, extra breites schockabsorbierendes, nylonbeschichtetes Massband, 2-seitig mm-Beschriftung, grosser magnetischer Endhaken, robustes ABS-/Gummigehäuse.;Robustes 5-m-Massband mit magnetischem Endhaken für den täglichen Einsatz.;Nylonbeschichtet, 2-seitig beschriftet.;https://shop.ferronato.ch/de/product/6152/kraftwerk-profi-rollmeter-5m-x-27mm?CatID=216;Plattenleger;32.0;130-146;ab Lager;Plattenleger (Hauptkategorie);Profi-Rollmeter 5 m, günstiger Dauerläufer und typischer Mitnahmeartikel.
