id	name	subcats	price	variants	description
1080	Pentel NN50 Filzstift		5.75		Pentel wasserfester Filzstift schwarz NN50, / 1 Stück Marker / Farbe Schwarz / Wasserfest / Kunststoffgehäuse und Kappe mit Clip / Strichbreite: 5 mm
1203	Schutzärmel PVC grau Paar Gr	PSA Plattenleger	14.30		Schutzärmel aus grauem PVC-Kunstleder Paar / Standardgrösse / Zum Schutz desUnterarms und des Ellbogens vor Wasserspritzern und Feuchtigkeit
131	Rückenstützgürtel Gr. M-XL	PSA Plattenleger	59.10		Elastischer Rückenstützgürtel mit Klettverbandverschluss / Grösse M-XL / Rückenstützgürtel / schwarz mit Klettverschluss / Klettband verstellbar. / Artikelnummer / Grösse / Preis / Warenkorb / 090-094 / M / ab Lager / exkl. MwSt / 090-096 / L / ab Lager / exkl. MwSt / 090-098 / XL / ab Lager / exkl. MwSt / Rückgaberecht / Versandinformationen / AGBs / © 2026 Ferronato AG - / Impressum/Datenschutze
1319	AKEMI AKEPOX® 3000,  Mini Quick	AKEMI Produkte	25.00		Schnell härtender 2-Komponenten-Fixierkleber, gelartig, in Kartuschen, genaue Dosierung und homogene Vermischung, Mischungsverhältnis 1:1. Fixierkleber für leichte Belastungen. Zur Befestigung von Metallbuchstaben. Ideal zum Fixieren von Natur- und Kunststein. Ausdrücken mit Pistole und Mischdüse. / Einsatzort: Grabstein & Denkmal, Fassade, Wand, Steinindustrie / Material: Naturstein, Granit, Marm
1327	AKEMI Composil - Colour Matched Silicone	AKEMI Produkte	35.00		Luftfeuchtigkeitshärtender 1-Komponenten-Fugendichtstoff auf Basis Siliconkautschuk, garantiert keine Randzonenverfärbung, fungizide Einstellung, reißfest, neutral vernetzend, 12 Monate lagerfähig Speziell für hochwertigen Naturstein, Quarzkomposit sowie Großkeramik formulierter 1-Komponenten Dichtstoff für Dehnungs- und Anschlussfugen. Alle Composil-Farben sind deckungsgleich mit den Produkten de
1370	KGS Kleintrennscheibe ø 50/75 mm x  Ø 6 mm	Diamantwerkzeuge|Diamanttrennscheiben 45mm -125mm	64.00		KGS Kleintrennscheibe n zwei Durchmessern. / Aufnahme 6mm / ohne Schaft (031-144), bitte seperat bestellen / gesintert / Aufnahme / 6mm / Artikelnummer / Durchmesser / Preis / Warenkorb / 031-146 / 50 mm / ab Lager / exkl. MwSt / 031-148 / 75 mm / ab Lager / exkl. MwSt / Rückgaberecht / Versandinformationen / AGBs / © 2026 Ferronato AG - / Impressum/Datenschutzerklärung / Javascript deactivated / 
1375	Diamant TS Ceramics soft Extreme mit Vollbelag 9 mm		223.00		Diamanttrennscheibe für Naturstein und / Keramik / Vollbelag 9mm, mit Stahl-Kern. / Gesinterte Diamanttrennscheibe mit durchgehender Krone für den Nassschnitt auf Tischkreissägen. Mit schmalen lasergeschnittenen Schlitzen für einen kühlen und flachen Schnitt. / Anwendung: Glasierte Fliesen, Granit, Marmor, Schiefer und Natursteinfliesen. / Technische Daten: / Bohrung 25,4 mm / Höhe Diamant 9 mm / 
1678	Bildhauer Trennscheibefür Marmor Ø 50/6mm und 75/6 mm	Diamantwerkzeuge|Diamanttrennscheiben 45mm -125mm	45.00		Bildhauer Tennscheibe für Marmor / Ø 50mm und 75 mm / Bohrung 6mm / galvanisiert D 427/grob vollbelegt / Drehzahl Ø 50 mm MAX. 27`000 U/min. / Drehzahl Ø 75 mm MAX. 18`000 U/min. / für Schaftaufnahme Ø 6mm / für Trockenanwendung / Ohne Schaftaufnahme, die separat gekauft wird (031-144). / Schaftaufnahme / Artikelnummer / Durchmesser / Preis / Warenkorb / 031-474 / 60 mm / ab Lager / exkl. MwSt / 0
171	Schaft ø 6mm zu Kleintrennscheiben	Diamantwerkzeuge|Diamanttrennscheiben 45mm -125mm	31.00		Aufnahmeschaft für kleine Trennscheiben Ø6x50mm. / Verschraubung mit M6-Gewinde / zu Kleintrennscheiben / Aufnahme / 6mm
1871	Schutzbrille VISTA mit Glasgläser	PSA Plattenleger	17.00		Schutzbrille VISTA Glasgläser / Universal-Schutzbrille in zeitloser und robuster Form, welche durch ihre Funktionalität glänzt. Zwei mögliche Bügelversionen vereinfachen zusätzlich / die Anpassung an jede Kopfform. Diese Ausführung ist mit laminierten splitterfreien klaren Gläsern ausgestattet. / Universal-Schutzbrille Ersatzgläser Art. Nr. 090-012 / Ersatzgläser / Bez. / Brille
1872	Schutzbrille für Brillenträger	PSA Plattenleger	8.90		Schutzbrille TOURSPEC aus kratzfestem, farblosem Polycarbonat,Frontpartie samt Seitenschutz / Augenabdeckung aus einem Stück. / Die Grosszügige. Kunststoff-Überbrille, welche es dem Träger ermöglicht,problemlos seine Korrektur-Brille darunter zu tragen. Durch das grosszügige Design und der damit verbundenen Flexibilität, ist dieses Produkt vor allem als Besucher-Brille geeignet.
2025	Malerspachtel		5.25		Malerspachtel / 50-80mm breit / Stahl / Blatt gehärtet und konisch geschliffen / mit Holzheft / Artikelnummer / Breite / Preis / Warenkorb / 100-120 / 50 mm / ab Lager / exkl. MwSt / 100-122 / 60 mm / ab Lager / exkl. MwSt / 100-124 / 80 mm / ab Lager / exkl. MwSt / Rückgaberecht / Versandinformationen / AGBs / © 2026 Ferronato AG - / Impressum/Datenschutzerklärung / Javascript deactivated / Javas
2036	Drahtbürste Zeintra		6.55		Drahtbürsten Zeintra, 1-5 Reihen / Eine solide, dauerhafte Bürste Stahldraht schwarz glatt (blank) / 0,3 mm / Länge: 230 mm / Höhe: 30 mm / erstklassiges Schweizer Fabrikat / Artikelnummer / Reihe / Preis / Warenkorb / 100-178 / 1 / ab Lager / exkl. MwSt / 100-180 / 2 / ab Lager / exkl. MwSt / 100-182 / 3 / ab Lager / exkl. MwSt / 100-184 / 4 / ab Lager / exkl. MwSt / 100-186 / 5 / ab Lager / exkl
2052	AKEMI Farbfächer Colourchart + Colour Chart 2.0 APP	AKEMI Produkte	69.40		AKEMI FARBFÄCHER COLOURCHART mehr als 50 Farben / Zeigt das AKEMI COLOUR MATCHING SYSTEM. / Das COLOUR MATCHING SYSTEM ist ein Gesamtsystem zur Herstellung unsichtbarer Klebe- und Anschlussfugen bei Natur- und Kunststein, Quarzkomposit sowie großformatigen Keramiken. Es ist in über 50 unterschiedlichen Farben erhältlich und besteht aus den Produkten COLOUR BOND P+, Spectrum Pastes, Composil, EVERC
2086	Saugheber Typ 2 aus Alu 80kg		121.00		Saugheber Tragkraft: max. 80 kg (horizontal) 40 kg / (vertikal). / Handlicher Saugheber in Aluminium-Ausführung für das Heben von diversen Werkstücken mit glatter und dichter Oberfläche. Durch Umlegen des Kipphebels wird das Vakuum erzeugt.
2139	AKEMI PLATINUM P+ L-Spezial 170 Gramm	AKEMI Produkte	21.50		AKEMI Platinum P+ L-Spezial transparent 170g, gelartiger, transparent-opaker Kleber (sehr helle Eigenfarbe), Basis Epoxyacrylat, hohe Klebekraft, sehr schnelle Oberflächentrocknung und Weiterverarbeitbarkeit. Verändert seine Konsistenz durch Verrühren nicht, lebensmittelunbedenklich (bestätigt durch externes deutsches Prüfinstitut) / Sehr gut zum Kleben und Kitten von Natur- und Kunststein (wie Ma
2192	FERROFIX-Montagegerät		449.00		FERROFIX Montagegerät für Keramikkochfelder / 2-teilig / Das Ferrofix-Montagegerät ist aus der Praxis entwickelt worden, damit das Montieren von flächenbündigen Glaskeramil-Kochfeldern schneller und genauer erledigt werden kann.
