6926	01 Messen & Anzeichnen	Distanzmesser	3	FLEX Laser Distanzmesser ADM 30 Smart	Kompakter Laser-Distanzmesser für schnelles Aufmass im Innenbereich.
7315	01 Messen & Anzeichnen	Kreuzlinienlaser	4	FLEX Aktion Selbstnivellierender Kreuzlinien-Laser ALC 3/1-G/R	Präziser, gut sichtbarer Kreuzlinienlaser mit grüner Laserdiode und Lot.
6108	01 Messen & Anzeichnen	Linienlaser	5	FLEX  Aktion Akku Linienlaser 360° ALC3/360-G/R 12 Volt	Präzise 360°-Kreuzlinien für schnelles Ausrichten von Fliesenspiegeln.
7374	01 Messen & Anzeichnen	Marker & Stifte	3	Lyra Zimmermannstifte 333, flachoval	Robuster Zimmermannstift für präzise Markierungen auf Holz.
7377	01 Messen & Anzeichnen	Marker & Stifte	3	Lyra Universalschreiber, wachshaltige Mine	Vielseitiger Markierstift für glatte Oberflächen, leicht entfernbar.
1080	01 Messen & Anzeichnen	Marker / Anschreiber	3	Pentel NN50 Filzstift	Wasserfester Filzstift zum sauberen Anzeichnen auf der Baustelle.
6152	01 Messen & Anzeichnen	Rollmeter	4	KRAFTWERK Profi-Rollmeter 5m x 27mm	Robustes 5-m-Massband mit magnetischem Endhaken für den täglichen Einsatz.
7396	01 Messen & Anzeichnen	Schlagschnurgerät	3	Lyra Cosmos Line Alu fast rewind Schlagschnurgerät	Zieht gerade Anschlaglinien auf Wand, Decke und Boden, schnelle Rückspulung.
7397	01 Messen & Anzeichnen	Schlagschnurpulver	2	Lyra Schlagschnurpulver 200g rot	Hochpigmentiertes Pulver für sehr gut sichtbare Anschlaglinien.
3239	01 Messen & Anzeichnen	Stifte / Marker	2	Steinhauer-Bleistift flachoval	Bruchfester Anzeichnungsstift für raue Oberflächen wie Stein und Beton.
7394	01 Messen & Anzeichnen	Tieflochmarker	3	Lyra Ink Profi permanent Tieflochmarker, Farbe ROT	Teleskopspitze markiert Bohrlöcher auch an schwer zugänglichen Stellen präzise.
7395	01 Messen & Anzeichnen	Tieflochmarker	3	Lyra Ink Profi permanent Tieflochmarker, Farbe SCHWARZ	Teleskopspitze markiert Bohrlöcher auch an schwer zugänglichen Stellen präzise.
7389	01 Messen & Anzeichnen	Wachsstift / Marker	3	Lyra China Marker Universal Wachsstift	Wachsstift zum Anzeichnen auf glatten Oberflächen, hitzebeständig bis 400°C.
6689	02 Schneiden & Trennen	Akku-Trennschleifer	3	Husqvarna K 540i Akku Trennschleifer	Emissionsfreier Akku-Trennschleifer mit hoher Betriebssicherheit.
6709	02 Schneiden & Trennen	Akku-Trennschleifer	3	Husqvarna Set 1 / K1 Pace 14"	Leistungsstarker Akku-Trennschleifer mit Konnektivität und Schnelllade-System.
6476	02 Schneiden & Trennen	Brücken-/CNC-Sägeblätter	2	FERRIX DTS ICON Ø400 mm Step 2.5 mm Bohrung 60mm + BRETON NL	Schnelles, leises Sägeblatt für Grossformatplatten aus Sinterstein.
7467	02 Schneiden & Trennen	Handgeführter Fliesenschneider	4	Fliesenschneider TRACER 1200	Präziser handgeführter Fliesenschneider mit Laserführung bis 1200 mm Fliesenlänge.
7861	02 Schneiden & Trennen	Jolly-Kante	4	DISTAR Edge Dry Diamanttrennscheibe für Keramik 45° Schnitt Ø125mm	Schneidet und schleift den 45°-Jolly-Schnitt in einem Arbeitsgang.
7862	02 Schneiden & Trennen	Jolly-Kante	4	DISTAR Edge Dry DTS für Keramik 45° Ø125mm mit M14 Flansch	Schneidet und schleift den 45°-Jolly-Schnitt in einem Arbeitsgang, M14-Aufnahme.
5993	02 Schneiden & Trennen	Kleintrennscheiben	2	Diamant Trenn- und Schleifscheibe Ø 30 mm M14	Kleine Trenn- und Schleifscheibe für filigrane Bearbeitung an Ecken und Kanten.
5994	02 Schneiden & Trennen	Kleintrennscheiben	2	Diamant Trenn- und Schleifscheibe Ø40 mm M14	Kleine Trenn- und Schleifscheibe für filigrane Bearbeitung an Ecken und Kanten.
4699	02 Schneiden & Trennen	Kleintrennscheiben	1	TRED Diamanttrennscheibe Ø22mm	Feinste Präzisionsschnitte an kleinen Bauteilen mit Handstück.
1370	02 Schneiden & Trennen	Kleintrennscheiben bis 75 mm	2	KGS Kleintrennscheibe ø 50/75 mm x  Ø 6 mm	Gesinterte Kleintrennscheibe für feine Trennarbeiten.
1678	02 Schneiden & Trennen	Kleintrennscheiben bis 75 mm	2	Bildhauer Trennscheibefür Marmor Ø 50/6mm und 75/6 mm	Galvanisierte Kleintrennscheibe für feine Marmorarbeiten.
7866	02 Schneiden & Trennen	Schneidetisch	4	DISTAR CeraMAX 1200 TELESCOPE 2.0 Schneidetisch	Höhenverstellbarer Schneidetisch für rückenschonendes Arbeiten und 45°-Schnitte.
6485	02 Schneiden & Trennen	Tischsägen	3	Tischfräse ACHILLI ALU130PL	Robuste, präzise Bausäge für den mobilen Baustelleneinsatz.
