3957	Steinmetz & Bildhauer	01 Messen & Anzeichnen	Anreisswerkzeuge	2	Anreissnadel leicht und schwer		Anreissnadel mit Widia-Spitze in zwei Ausführungen.
1219	Steinmetz & Bildhauer	01 Messen & Anzeichnen	Anreisswinkel	3	Maurerwinkel 150x100mm	100-054	Richtet und reisst rechte Winkel präzise an.
1230	Steinmetz & Bildhauer	01 Messen & Anzeichnen	Anreisswinkel	3	Maurerwinkel 100x70mm	100-056	Kompakter Winkel zum Anreissen und Ausrichten.
3980	Steinmetz & Bildhauer	01 Messen & Anzeichnen	Anzeichenmaterial	3	Caran D'ache Classic klein		Wasserfester Öl-Wachs-Kreidestift zum Anzeichnen auf Stein.
2320	Steinmetz & Bildhauer	01 Messen & Anzeichnen	Anzeichnen	2	Pauspapier 430 x 610 mm per Stück		Pauspapier zum Übertragen von Vorlagen auf Stein.
3965	Steinmetz & Bildhauer	01 Messen & Anzeichnen	Anzeichnen & Markieren	3	Steinhauerkreidenstifte Staedtler permanent		Wasserfester Markierstift für deckende Anzeichnungen auf Stein.
208	Steinmetz & Bildhauer	01 Messen & Anzeichnen	Bildhauerwerkzeuge	2	Steinzirkel aus Stahl Länge 500 mm	040-768	Präzisionszirkel mit gehärteten Spitzen, 500mm.
4310	Steinmetz & Bildhauer	01 Messen & Anzeichnen	Punktiergeräte	2	Punktiermaschine Standard 600	040-774	Punktiergerät zum massgenauen Übertragen von Modellen auf Stein.
1190	Steinmetz & Bildhauer	01 Messen & Anzeichnen	Schablonenfolie	3	Schablonit transparent  0.25mm, 1 Laufmeter	041-504	Wasser- und ölfeste Schablonenfolie für Anzeichnen und Beschriften.
1191	Steinmetz & Bildhauer	01 Messen & Anzeichnen	Schablonenfolie	2	Schablonit transparent Rolle	041-502	Grossrolle Schablonenfolie für den durchgehenden Werkstattbedarf.
7877	Steinmetz & Bildhauer	01 Messen & Anzeichnen	Zeichenmaterial	2	FERROBLAST Hochtransparentes Zeichenpapier	070-736	Säurefreies Transparentpapier für präzise Anrisse und Skizzen.
63	Steinmetz & Bildhauer	02 Schneiden & Trennen	Bildhauer-Handwerkzeug	2	REXID Bossiereisen 22mm WIDIA mit SK	041-120	Hartmetall-Bossiereisen für Hartgestein, mit Schlägelkopf.
6317	Steinmetz & Bildhauer	02 Schneiden & Trennen	Bildhauer-Handwerkzeug	2	REXID Kipphammer 2 Schneiden 40 mm	040-279	Zweischneidiger Kipphammer für Hartgestein, 40 mm.
7362	Steinmetz & Bildhauer	02 Schneiden & Trennen	Bildhauer-Handwerkzeuge	3	MULLER Schlageisen Carbone Ø18/400mm	040-013	Nachschleifbarer Flachmeissel aus Kohlenstoffstahl, 18 mm.
3974	Steinmetz & Bildhauer	02 Schneiden & Trennen	Bildhauer-Handwerkzeuge	2	Ferrit Handsetzer mit Schlägelkopf SK 85° H		Robuster Handsetzer mit Hartmetallplatte für Naturstein und Beton.
3982	Steinmetz & Bildhauer	02 Schneiden & Trennen	Bildhauer-Handwerkzeuge	2	Kunststoffknüpfel schwarz		Robuster Knüpfel für harten, schnellen Schlag bei der Steinbearbeitung.
4007	Steinmetz & Bildhauer	02 Schneiden & Trennen	Bildhauer-Handwerkzeuge	2	EUROP Flachschlageisen		Robustes Flachschlageisen mit Widia-Einsatz, Länge 190 mm.
4048	Steinmetz & Bildhauer	02 Schneiden & Trennen	Brücken-/Tischfräsen-Trennscheiben	3	Trennscheibe BETCUT TS Marmor DBM.30S Nassanwendung		Leisekern-Trennscheibe für sauberen Schnitt in Marmor und Kalkstein.
4049	Steinmetz & Bildhauer	02 Schneiden & Trennen	Brücken-/Tischfräsen-Trennscheiben	3	BETCUT UCS DEKTON für Brückenfräsen		Verstärkte Trennscheibe für 45°-Schnitte in Dekton und Lapitec.
4092	Steinmetz & Bildhauer	02 Schneiden & Trennen	Brücken-/Tischfräsen-Trennscheiben	3	BETCUT CERAMICS für Tischfräsen		Trennscheibe für Keramikplatten inkl. Dekton und Lapitec bis 30 mm.
3290	Steinmetz & Bildhauer	02 Schneiden & Trennen	Diamant-Trennscheiben	4	TS SWIFLEX-RED-K810 ø150mm	032-594	Universal-Diamanttrennscheibe mit hoher Standzeit, ø 150 mm.
3292	Steinmetz & Bildhauer	02 Schneiden & Trennen	Diamant-Trennscheiben	4	RED K825 Dia.Trennscheibe Ø115		Dicke Mörtelräumer-Trennscheibe zum Fugenfräsen, ø 115 mm.
3293	Steinmetz & Bildhauer	02 Schneiden & Trennen	Diamant-Trennscheiben	4	RED K825 Dia.Trennscheibe Ø125	032-058	Dicke Mörtelräumer-Trennscheibe zum Fugenfräsen, ø 125 mm.
3455	Steinmetz & Bildhauer	02 Schneiden & Trennen	Diamant-Trennscheiben	4	DTS BETCUT ø350/25.4 M/G/B	030-558	Günstige gesinterte Trennscheibe für schnellen Granitschnitt.
4008	Steinmetz & Bildhauer	02 Schneiden & Trennen	Diamant-Trennscheiben	4	Marmor Trennscheibe M14 Ø125 + Ø150 mm		Diamanttrennscheibe für Marmor und Kalkstein, Trockenschnitt.
5774	Steinmetz & Bildhauer	02 Schneiden & Trennen	Diamant-Trennscheiben Naturstein	3	FERRIX DTS Granit Speed Ø400mm /60 mm	031-205 400B	Grossformatige Diamant-Trennscheibe Ø400mm für Granit-Nassschnitt.
3897	Steinmetz & Bildhauer	02 Schneiden & Trennen	Diamanttrennscheiben	4	KGS RED K810 Diamant Trennscheibe für Granit Trockenschnitt		Universelle Premium-Trennscheibe für Granit, Beton und Verbundstein.
6777	Steinmetz & Bildhauer	02 Schneiden & Trennen	Diamanttrennscheiben	4	Diamantscheibe Bildhauer Ø 230 mm Aufnahme 22,2 mm	030-594	Diamant-Vollmanteltrennscheibe für den Trockenschnitt von Marmor und Kalkstein.
6361	Steinmetz & Bildhauer	02 Schneiden & Trennen	Diamanttrennscheiben (Ferrix)	4	FERRIX DTS EPIC Ø300 mm Ceramics Aufnahme 25.4mm	031-199 300	Ferrix-Trennscheibe für Feinsteinzeug und Marmor, Ø 300 mm.
6362	Steinmetz & Bildhauer	02 Schneiden & Trennen	Diamanttrennscheiben (Ferrix)	4	FERRIX DTS CERAMICUT-2 Ø300 mm Ceramics Aufnahme 25.4mm	031-197 300	Ferrix CERAMICUT-2-Trennscheibe für Feinsteinzeug, Ø 300 mm.
3844	Steinmetz & Bildhauer	02 Schneiden & Trennen	Diamanttrennscheiben Brückensäge	4	BETCUT EVO NEXT Ø400x60mm	030-728	Segmentierte Diamanttrennscheibe für Brückenfräsen in Dekton und Lapitec.
5141	Steinmetz & Bildhauer	02 Schneiden & Trennen	Fäustel & Hämmer	3	Milani Eisenfäustel 400 Gramm	040-888	Eisenfäustel für kraftvolle Schläge auf kristalline Gesteine.
5693	Steinmetz & Bildhauer	02 Schneiden & Trennen	Fäustel & Hämmer	2	Künstler Kupferhammer 500g	041-458 500	Funkenfreier Kupferhammer für schonendes Arbeiten.
5694	Steinmetz & Bildhauer	02 Schneiden & Trennen	Fäustel & Hämmer	2	Künstler Kupferhammer 200  Gramm	041-458 200	Funkenfreier Kupferhammer, leichte 200-Gramm-Ausführung.
5713	Steinmetz & Bildhauer	02 Schneiden & Trennen	Führungsschienen	2	FLEX Führungsschienen 800 / 1100 / 1600 mm		Präzise Führungsschiene mit Anti-Rutschsicherung.
5717	Steinmetz & Bildhauer	02 Schneiden & Trennen	Führungsschienen	2	FLEX Verbinder Führungsschiene	050-026 VFS	Verbindungsstück zum Koppeln von Führungsschienen.
5586	Steinmetz & Bildhauer	02 Schneiden & Trennen	Granit-Trennscheiben (Akku-Trennjäger)	3	Ferrix DTS TJ Granit Uni Ø350/25.5mm Super-Leise	030-570 G	Super-leise Granit-Trennscheibe für Akku-Trennjäger.
3969	Steinmetz & Bildhauer	02 Schneiden & Trennen	Handschrifteisen	2	EUROP Handschrifteisen SK **		Handschrifteisen mit WIDIA-Einsatz in drei Härtegraden.
5104	Steinmetz & Bildhauer	02 Schneiden & Trennen	Handsetzer & Fäustel	3	Ferrit Handsetzer Breite 25 mm	040-582	Handsetzer mit Hartmetalleinsatz für Marmor und Granit.
5105	Steinmetz & Bildhauer	02 Schneiden & Trennen	Handsetzer & Fäustel	3	Ferrit Handsetzer Breite 30 mm	040-584	Handsetzer mit Hartmetalleinsatz für Marmor und Granit.
488	Steinmetz & Bildhauer	02 Schneiden & Trennen	Handsetzer & Meissel	2	Gedik Handsetzer ø 60mm Marmor + Granit	040-600	Handsetzer mit Hartmetallplatte für schwere Absprengarbeiten.
1678	Steinmetz & Bildhauer	02 Schneiden & Trennen	Kleintrennscheiben	3	Bildhauer Trennscheibefür Marmor Ø 50/6mm und 75/6 mm		Kleintrennscheibe für die feine Marmorbearbeitung von Hand.
171	Steinmetz & Bildhauer	02 Schneiden & Trennen	Kleintrennscheiben	2	Schaft ø 6mm zu Kleintrennscheiben	031-144	Aufnahmeschaft zum Betreiben von Kleintrennscheiben Ø6 mm.
3132	Steinmetz & Bildhauer	02 Schneiden & Trennen	Nasskreissägen	2	FLEX CS60 WET Nasskreissäge mit Fi (PRCD)	050-024	Nasskreissäge zum Steinschneiden und Fugenfräsen.
3975	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Bildhauerwerkzeuge	2	MILANI Pressluft PL Zahneisen 12.5 mm		Präzises Pressluft-Zahneisen mit Hartmetalleinsatz, Aufnahme 12.5 mm.
3976	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Bildhauerwerkzeuge	2	MILANI Pressluft PL Zahneisen 7.4 mm		Feines Pressluft-Zahneisen mit Widia-Einsatz, Aufnahme 7.4 mm.
3977	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Bildhauerwerkzeuge	2	FERROBLACK PL-Schlageisen 12.5 mm		Kräftiges Pressluft-Schlageisen mit Widia-Einsatz.
5256	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Gravierwerkzeuge	2	Druckluft Gravierstift GP 950	060-170	Druckluft-Gravierstift für feine Gravurarbeiten in Stein.
5645	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Meisselhammer	3	Meisselhammer FK 702.4 A, Einsteckende 12.7 x 50 mm	060-702.4 A 12.7	Pressluft-Meisselhammer für allgemeine Steinarbeiten.
5705	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Meisselhammer	3	Meisselhammer FK 702.4 A Einsteckende RK13	060-702.4 A RK13	Pressluft-Meisselhammer mit RK13-Einsteckende.
550	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Schlageisen	3	REXID PL-Schlageisen 20/16+30/16  Aufnahme: 10,2 mm		Pressluft-Schlageisen mit Widia-Hartmetall für Marmor.
3606	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Schlageisen	2	Ferrit Pressluft Schlageisen Aufnahme 12,7 mm Universal		Pressluft-Schlageisen mit Hartmetall für universelle Steinbearbeitung.
5092	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Schrifteisen	3	EUROP Pressluft Schrifteisen 8mm * Aufnahme 10.2mm	040-088	Pressluft-Schrifteisen mit Hartmetall für Schriftarbeiten.
5164	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Schrifteisen	3	FERROBLAU G 6mm PL12,7	041-486	Widia-Schrifteisen für Schriftarbeiten in Granit.
5165	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Schrifteisen	3	Pressluft Schrifteisen FERROBLAU G 8mm PL12,7	041-488	Widia-Schrifteisen für Schriftarbeiten in Granit.
5166	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Schrifteisen	3	Pressluft Schrifteisen FERROBLAU G 10mm PL12,7	041-490	Widia-Schrifteisen für Schriftarbeiten in Granit.
3605	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Schrifteisen	2	Ferrit Pressluft-Schrifteisen ø12,5mm  Breite 4-20 mm		Schlankes Pressluft-Schrifteisen mit Hartmetall für Kalkstein.
3958	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Schrifteisen	2	FERROBLACK Pressluft Bildhauerschrifteisen Aufnahme 12.7 mm		Handgefertigtes Pressluft-Schrifteisen mit WIDIA-Einsatz.
3962	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Schrifteisen	2	EUROP PL-Schrifteisen 4-12 mm** Aufnahme 12.7mm		Pressluft-Schrifteisen mit WIDIA-Einsatz in drei Härtegraden.
5643	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Schriftenhammer	3	Schriften Hammer FK 701 A, Einsteckende 12.7 x 50 mm	060-701 A 12.7	Pressluft-Schriftenhammer für Bossieren, Stocken und Schrift.
5680	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Schriftenhammer	3	Schriften Hammer FK 711 A Einsteckende 12.7mm x 50 mm	060-711 A 12.7	Pressluft-Schriftenhammer mit hoher Schlagzahl.
5696	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Schriftenhammer	3	Schriften Hammer FK 713 A Einsteckende 12.7 x 50mm	060-713 A 12.7	Pressluft-Schriftenhammer für Schrift- und Stockarbeiten.
5698	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Schriftenhammer	3	Schriftenhammer FK 700 A Einsteckende 10.2 x 36 mm	060-700 A 10.2	Pressluft-Schriftenhammer mit kleiner Aufnahme 10,2mm.
5699	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Schriftenhammer	3	Schriftenhammer FK 701 A Einsteckende 10.2 x 36 mm	060-701 A 10.2	Pressluft-Schriftenhammer mit kleiner Aufnahme 10,2mm.
5700	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Schriftenhammer	3	Schriftenhammer FK 713 A Einsteckende 10.2 x 36 mm	060-713 A 10.2	Pressluft-Schriftenhammer mit kleiner Aufnahme 10,2mm.
5701	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Schriftenhammer	3	Schriftenhammer FK 714 A Einsteckende 12.7mm x 50 mm	060-714 A 12.7	Pressluft-Schriftenhammer, kompakt und leicht.
5702	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Schriftenhammer	3	Schriftenhammer FK 711 A Einsteckende 10.2 x 36 mm	060-711 A 10.2	Pressluft-Schriftenhammer mit kleiner Aufnahme 10,2mm.
5704	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Schriftenhammer	3	Schriftenhammer FK 715 A Einsteckende 10.2x 36mm	060-715 A 10.2	Pressluft-Schriftenhammer, kompakt mit kleinem Kolben.
5095	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Spitzeisen	3	GEDIK Pressluft Spitzeisen Konus.13 HM 18mm	040-180	Pressluft-Spitzeisen mit Hartmetallspitze, Konus 13mm.
5096	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Spitzeisen	3	GEDIK Pressluft Spitzeisen Konus13 HM 20mm	040-182	Pressluft-Spitzeisen mit Hartmetallspitze, Konus 13mm.
5107	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Spitzeisen	3	Ferrit Pressluft Spitzeisen 8 mm Aufnahme  10.5 mm G	040-604	Pressluft-Spitzeisen mit Hartmetalleinlage für Granit.
5145	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Spitzeisen	3	REXID Spitzeisen 8mm 8x8mm EE 10.2mm Uni10	041-248	Schrift-Spitzeisen mit Hartmetallstift für alle Gesteinsarten.
5146	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Spitzeisen	3	REXID Spitzeisen10mm 10x10mm EE 10.2mm Uni10	041-250	Schrift-Spitzeisen mit Hartmetallstift für alle Gesteinsarten.
5148	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Spitzeisen	3	REXID Pressluft Spitzeisen 12-14 mm UNI Aufnahme 10,5 mm		Universal-Spitzeisen für Hart- und Weichgestein.
5150	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Spitzeisen	3	REXID Pressluft Spitzeisen 8-18 mm Aufnahme 12,7 mm Universal		Universal-Spitzeisen für Hart- und Weichgestein.
5563	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Spitzeisen	3	REXID Pressluft Spitzeisen ERGO EE10.2 Ø10mm =10x10mm	041-235	Gummiummanteltes Schrifteisen für vibrationsarmes Arbeiten.
5672	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Stocker	3	HM PL-Stocker langer Schaft 10x2,5mm Zähne 1x4 Zähne	040-175	Pressluft-Stocker mit Hartmetallplatte für Oberflächenstruktur.
3851	Steinmetz & Bildhauer	02 Schneiden & Trennen	Pressluft-Stocker	2	PL-Stocker 30x30 16 Zähne m.B. KSHK	040-170	Pressluft-Stocker mit Widia-Zähnen für Oberflächenstrukturierung.
