Sparte;Hauptkategorie (neu);Unterkategorie (neu);Top-Rang;Relevanz 1-5;Produktname;Bild;Beschreibung (max. 500 Zeichen);Feature / USP (Hauptbotschaft);Sekundäre Information;Link Ferronato-Shop;Preis CHF exkl. MwSt;Art.-Nr.;Verfügbarkeit;Alte Shop-Kategorien;Begründung Top
Autogewerbe;02 Schneiden & Trennen;Blechscheren;;2;KRAFTWERK Figuren-Blechschere gerade M2;https://shop.ferronato.ch/images/product/large/6133.jpg;KRAFTWERK Figuren-Blechschere gerade, Modell M2, Figuren- und Durchlaufschere für gerade Schnitte in der Karosserie.;Figuren- und Durchlaufschere gerade für präzise Blecharbeiten.;Modell M2.;https://shop.ferronato.ch/de/product/6133/x;37.0;130-114;ab Lager;Auto Produkte > Karosseriebau;Werkzeug, moderater Nachkauf
Autogewerbe;02 Schneiden & Trennen;Blechscheren;;2;KRAFTWERK Figuren-Blechschere links M3;https://shop.ferronato.ch/images/product/large/6131.jpg;KRAFTWERK Figuren-Blechschere links, Modell M3, Figuren- und Durchlaufschere für Blecharbeiten in der Karosserie.;Figuren- und Durchlaufschere links für präzise Blecharbeiten.;Modell M3.;https://shop.ferronato.ch/de/product/6131/x;37.0;130-110;ab Lager;Auto Produkte > Karosseriebau;Werkzeug, moderater Nachkauf
Autogewerbe;02 Schneiden & Trennen;Blechscheren;;2;KRAFTWERK Figuren-Blechschere rechts M1;https://shop.ferronato.ch/images/product/large/6132.jpg;KRAFTWERK Figuren-Blechschere rechts, Modell M1, Figuren- und Durchlaufschere für Blecharbeiten in der Karosserie.;Figuren- und Durchlaufschere rechts für präzise Blecharbeiten.;Modell M1.;https://shop.ferronato.ch/de/product/6132/x;37.0;130-112;ab Lager;Auto Produkte > Karosseriebau;Werkzeug, moderater Nachkauf
Autogewerbe;04 Schleifen, Kanten & Polieren;Poliermaschinen;5;2;FLEX PE 150 18-EC C Akku Polierer;https://shop.ferronato.ch/images/product/large/7887.jpg;Akku-Polierer mit Leistung wie ein Kabelpolierer über die gesamte Akkulaufzeit, CDC-Konstantelektronik gegen Drehzahlschwankungen. Gasgebeschalter für sanften Start mit Arretierung für Dauerlauf, idealer Drehzahlbereich für Automotive, Maritim und Aviation. Maximale Abtragsleistung im FLEX-2-Step-System.;Akku-Polierer mit konstanter Leistung wie ein Kabelgerät.;Für Automotive, Maritim und Aviation, mit 2-Step-System.;https://shop.ferronato.ch/de/product/7887/x;540.0;050-656;Nicht an Lager;Auto Produkte;FLEX PE 150 18-EC C Akku-Polierer, kabellos in der Werkstatt
Autogewerbe;04 Schleifen, Kanten & Polieren;Poliermaschinen;;2;FLEX Akku Rotationspolierer 18V PE 150 18.0-EC/5.0 Set;https://shop.ferronato.ch/images/product/large/6107.jpg;FLEX PE 150 18.0-EC Akku-Rotationspolierer, bürstenloser Motor, Electronic Management System, Planeten-Winkelgetriebe für Geräuschreduzierung, flacher Getriebekopf, gummierte Ablagefläche. Poliert mit niedrigen Touren und hohem Drehmoment, ideal für Automotive, Maritim und Aviation. Max. Polierkörper-Ø160mm, max. Stützteller-Ø150mm, Leerlaufdrehzahl 150-1450 U/min. Set mit 2 Akkus 5.0Ah, Ladegerät, Klett-Teller Ø150mm, Handgriff.;Akku-Rotationspoliermaschine mit hohem Drehmoment für Automotive-Lack.;150-1450 U/min, Klett-Teller 150mm, inkl. 2x 5.0Ah-Akku und Ladegerät.;https://shop.ferronato.ch/de/product/6107/x;815.0;050-276;ab Lager;Auto Produkte > Aufbereitung- & Pflege;Maschinen-Set, seltener Kauf
Autogewerbe;04 Schleifen, Kanten & Polieren;Poliermaschinen;;2;FLEX PXE 80 12-EC C Polierer;https://shop.ferronato.ch/images/product/large/7301.jpg;Akku-Polierer 10.8 V für rotative und exzentrische Arbeiten mit 3 und 12 mm Hub, werkzeugloses Schnellwechselsystem zwischen den Antriebsarten, gedämpfte Spezialklett-Teller. Ideal für Fahrzeugaufbereitung, Lackierung und Spotrepair. Lieferung ohne Akku und Ladegerät.;Polierer mit rotativem und exzentrischem Antrieb, 3/12 mm Hub.;Max. Polierkörperdurchmesser 80 mm, 4 Drehzahlstufen.;https://shop.ferronato.ch/de/product/7301/x;295.0;050-546;Nicht an Lager;Steinbearbeitung > Elektrowerkzeuge & Zubehör > Elektrowerkzeuge;Maschine, kein laufendes Verbrauchsprodukt.
Autogewerbe;04 Schleifen, Kanten & Polieren;Poliermaschinen;;2;FLEX PXE 80 12-EC/2.5 Set Polierer;https://shop.ferronato.ch/images/product/large/7685.jpg;Polierer für rotative und exzentrische Arbeiten mit 3 und 12 mm Hub, mit werkzeuglosem Schnellwechselsystem zwischen den Antriebsarten. Bürstenloser Motor, für Fahrzeugaufbereiter, Lackierer und Spotrepair, vom Blütenschliff bis zum hologrammfreien Finish.;Kombi-Polierer für rotative und exzentrische Arbeiten in einem Gerät.;Hub 3 und 12 mm, werkzeugloser Wechsel der Antriebsart.;https://shop.ferronato.ch/de/product/7685/x;540.0;050-547;ab Lager;Auto Produkte > Aufbereitung- & Pflege;Maschine, seltener Nachkauf
Autogewerbe;04 Schleifen, Kanten & Polieren;Poliermaschinen;;2;FLEX Polierer PE 14-3  125 variabel;https://shop.ferronato.ch/images/product/large/6028.png;FLEX Polierer PE 14-3 125 variabel, für Polierkörper von Ø80 bis 160mm. VR-Mikroprozessor-Elektronik mit Drehzahlkonstanthaltung, Sanftanlauf, Wiederanlaufsperre, Überlastschutz, Temperaturüberwachung, Drehzahlvorwahl. Flacher Getriebekopf, Spindelarretierung. 1400W, 880W Abgabe, Leerlaufdrehzahl 1100-3700 U/min, max. Stützteller-Ø125mm, Gewicht 2.2kg. Inkl. seitlichem Handgriff.;230V-Polierer für Polierkörper Ø80-160mm, breiter Drehzahlbereich.;1400W, 1100-3700 U/min, Gewicht 2.2kg, inkl. Seitenhandgriff.;https://shop.ferronato.ch/de/product/6028/x;445.0;050-266;Nicht an Lager;Auto Produkte > Lackierung > Werkzeuge & Zubehör;Maschine, seltener Kauf
Autogewerbe;04 Schleifen, Kanten & Polieren;Poliermaschinen;;2;FLEX Polierer XFE 15 150 18.0-EC;https://shop.ferronato.ch/images/product/large/6836.jpg;Akku-Exzenterpolierer mit 15 mm Polierhub, freilaufendem Antrieb für hologrammfreies Finish, geringe Wärmeentwicklung für temperaturempfindliche Lacke. Bürstenloser Motor, gedämpfter Spezialklett-Teller, flacher Getriebekopf für sicheres Führen in jeder Lage. Max. Polierkörperdurchmesser 160 mm, Betrieb mit allen FLEX 18V-Akkupacks, Gewicht 2,1 kg.;Akku-Exzenterpolierer für hologrammfreies Finish auf temperaturempfindlichen Lacken.;Polierhub 15 mm, max. Polierkörper 160 mm, ohne Akku und Ladegerät.;https://shop.ferronato.ch/de/product/6836/x;540.0;050-354;ab Lager;Auto Produkte > Aufbereitung- & Pflege;Investitionsmaschine, seltener Kauf gegenüber Verbrauchsmaterial.
Autogewerbe;04 Schleifen, Kanten & Polieren;Polierzubehör;;3;FLEX Flexible Welle FS 140 Set;https://shop.ferronato.ch/images/product/large/7337.jpg;Flexible Welle FS 140 für die Poliermaschine PXE 80 10.8-EC, Länge 1400 mm für max. 6000 U/min, werkzeuglose Schnellwechsel-Montage. Für Ecken und schwer zugängliche Stellen im Spotrepair-Bereich. Set inkl. Transportkoffer L-BOXX 102 und je 6 Kegel- und Zylinder-Polierschwämme in soft, medium und hart.;Flexible Welle für Spotrepair an Ecken und engen Stellen.;Inkl. Transportkoffer und 12 Polierschwämme in drei Härten.;https://shop.ferronato.ch/de/product/7337/x;255.0;050-592;ab Lager;Auto Produkte > Aufbereitung- & Pflege;Systemzubehör mit nachkaufbaren Polierschwämmen.
